Incorrect Tokenized,Correct Tokenized
ඔවුහු කීවෝය බොරු,ඔවුහු බොරු කීවෝය
මට හැක සවන්දිය,මට සවන්දිය හැක
ඇය කරගත්තාය අහිමි,ඇය අහිමි කරගත්තාය
අපි සෑදුවෙමු එය,අපි එය සෑදුවෙමු
ඔවුහු හමුවූවෝය ඔහුව,ඔවුහු ඔහුව හමුවූවෝය
මම ලෙස ලියමි වැරදි,මම වැරදි ලෙස ලියමි
මම කරමි යාච්ඤා,මම යාච්ඤා කරමි
ඇය තෝරාගනියි එය,ඇය එය තෝරාගනියි
අපි කළෙමු ආරක්ෂා,අපි ආරක්ෂා කළෙමු
ඔවුහු කරයි දඬුවම්,ඔවුහු දඬුවම් කරයි
මට හැක තැබිය,මට තැබිය හැක
ඇය කියවයි එය,ඇය එය කියවයි
අපිට ලැබුණි එය,අපිට එය ලැබුණි
ඔවුහු කරති ප්‍රතික්ෂේප,ඔවුහු ප්‍රතික්ෂේප කරති
මට මතකයි එය,මට එය මතකයි
ඇය කියයි නැවත,ඇය නැවත කියයි
අපිට පෙනෙයි එය,අපිට එය පෙනෙයි
ඔවුන් විකුණති එය,ඔවුන් එය විකුණති
මම යැව්වෙමි ඊයේ,මම ඊයේ යැව්වෙමි
ඔහු බෑවේය රැවුල,ඔහු රැවුල බෑවේය
එය ඇකිළුනේය සැණින්,එය සැණින් ඇකිළුනේය
අපි කරන්නෙමු ගායනා,අපි ගායනා කරන්නෙමු
ඔවුන් ඉඳත්තෝය එතන,ඔවුන් එතන ඉඳත්තෝය
මට හැක කිව,මට කිව හැක
ඇය කරයි වියදම්,ඇය වියදම් කරයි
අපි වින්ඳෙමු දුක්,අපි දුක් වින්ඳෙමු
ඔවුහු කරති යෝජනා,ඔවුහු යෝජනා කරති
මම කළෙමි පුදුම,මම පුදුම කළෙමි
ඇය ගත්තාය එය,ඇය එය ගත්තාය
අපි උගන්වමු එය,අපි එය උගන්වමු
අපට ඔවුන් කීවෝය,ඔවුන් අපට කීවෝය
ස්තූතියි ඇය කළාය,ඇය ස්තූතියි කළාය
සිතා මට බැලියහැක,මට සිතා බැලියහැක
විසි ඇය කළාය,ඇය විසි කළාය
එය අපි තේරුම්ගනිමු,අපි එය තේරුම්ගනිමු
ඔවුන්ට අවශ්‍යයි එය,ඔවුන්ට එය අවශ්‍යයි
මට ගතහැක ඇඳපැළඳ,මට ඇඳපැළඳ ගතහැක
එය ඇය ලියයි,ඇය එය ලියයි
අපි කරමු කතා,අපි කතා කරමු
එය සතුයි ඔවුන්,එය ඔවුන් සතුයි
එය මම නැරඹුවෙමි,මම එය නැරඹුවෙමි
කතා මම කරන්නෙමි,මම කතා කරන්නෙමි
ඔහු ගත්තේය මිලට,ඔහු මිලට ගත්තේය
අපි කළෙමු නිමා,අපි නිමා කළෙමු
යන්නෙ ඔහු කොහිද ?,ඔහු යන්නෙ කොහිද ?
මේ මොකද්ද මල ?,මේ මල මොකද්ද ?
දුක්වන්නේ ඔබ ඇයි ?,ඔබ දුක්වන්නේ ඇයි ?
කැමති ඔබ කොහොමද ?,ඔබ කැමති කොහොමද ?
මට පුළුවන්ද එන්න ?,මට එන්න පුළුවන්ද ?
ඔහු කොහොම නිදිද ?,ඔහු කොහොම නිදිද ?
ඔබ දන්නවද මාව ?,ඔබ මාව දන්නවද ?
මගේ තිබෙනවද පොත ?,මගේ පොත තිබෙනවද ?
කොතරම් එය විශාලද ?,එය කොතරම් විශාලද ?
ඔබට සහය හැකිද වීමට ?,ඔබට සහය වීමට හැකිද ?
මට සහය හැකිද වීමට ?,මට සහය වීමට හැකිද ?
ඔබට හැකිද කතාකළ ?,ඔබට කතාකළ හැකිද ?
දුරද මෙයට කොතරම් ?,මෙයට කොතරම් දුරද ?
දැන් කීයද වෙලාව ?,දැන් වෙලාව කීයද ?
මෙහි කීයද මිල ?,මෙහි මිල කීයද ?
මොකද්ද ඔබේ නම ?,ඔබේ නම මොකද්ද ?
ඔබ කොහෙද ඉන්නෙ ?,ඔබ ඉන්නෙ කොහෙද ?
ඔහු නොමැත මෙහි,ඔහු මෙහි නොමැත
මෙය නොවෙයි මගේ,මෙය මගේ නොවෙයි
මම නොකරමි කතා,මම කතා නොකරමි
මම නොලියමි පොත,මම පොත නොලියමි
රිය මම නොපදවමි,මම රිය නොපදවමි
ආදරය මම නොකරමි,මම ආදරය නොකරමි
පොත මම නොදෙමි,මම පොත නොදෙමි
මම නොවෙමි සිනා,මම සිනා නොවෙමි
මම නොගනිමි පොත,මම පොත නොගනිමි
කතා ඔහු නොකරයි,ඔහු කතා නොකරයි
පොත මහු නොලියයි,මහු පොත නොලියයි
ඔහු නොපදවයි රිය,ඔහු රිය නොපදවයි
ආදරය ඔහු නොකරයි,ඔහු ආදරය නොකරයි
පොත ඔහු නොදෙයි,ඔහු පොත නොදෙයි
සිනා ඔහු නොවෙයි,ඔහු සිනා නොවෙයි
ඔහු නොගනියි පොත,ඔහු පොත නොගනියි
අපි නොකරමු කතා,අපි කතා නොකරමු
පොත අපි නොලියමු,අපි පොත නොලියමු
අපි නොපදවමු රිය,අපි රිය නොපදවමු
ආදරය අපි නොකරමු,අපි ආදරය නොකරමු
අපි නොදෙමු පොත,අපි පොත නොදෙමු
සිනා අපි නොවෙමු,අපි සිනා නොවෙමු
අපි නොගනිමු,අපි නොගනිමු
මම කරමි කතා,මම කතා කරමි
කතා ඔබ කරන්නෙහි,ඔබ කතා කරන්නෙහි
ඔහු කරයි කතා,ඔහු කතා කරයි
කතා ඇය කරයි,ඇය කතා කරයි
අපි කරමු කතා,අපි කතා කරමු
කතා ඔවුහු කරති,ඔවුහු කතා කරති
මම වැරදිද හරි ?,මම හරි වැරදිද ?
ඔහු වැඩිමල්ද බාල ?,ඔහු බාල වැඩිමල්ද ?
විභාගය පරණද අලුත් ?,විභාගය අලුත් පරණද ?
මේක පොතක්ද පරණ ?,මේක පරණ පොතක්ද ?
ගණන් මේක වැඩියි,මේක ගණන් වැඩියි
මෙහෙට ඔයා කැමතිද ?,ඔයා මෙහෙට කැමතිද ?
ඔයා තියෙනවද ගිහිං ?,ඔයා ගිහිං තියෙනවද ?
මට පුරුදු පුළුවන්ද වෙන්න ?,මට පුරුදු වෙන්න පුළුවන්ද ?
මම කරන්නද උදව් ?,මම උදව් කරන්නද ?
ඔබට පුළුවන්ද පෙන්නන්න ?,ඔබට පෙන්නන්න පුළුවන්ද ?
යන්නෙ මම කොහොමද ?,මම යන්නෙ කොහොමද ?
එහෙට යනවද වෙලා ?,එහෙට වෙලා යනවද ?
ප්‍රශ්නයක් මට තියෙනවා,මට ප්‍රශ්නයක් තියෙනවා
මේක කොහොමද කියන්නේ ?,මේක කියන්නේ කොහොමද ?
කරුණාකර කියන්න මට,කරුණාකර මට කියන්න
මම කථා නැහැ කරන්නේ,මම කථා කරන්නේ නැහැ
මම නැහැ ගන්නේ,මම ගන්නේ නැහැ
නැවත ඒක කියන්න,ඒක නැවත කියන්න
මට අවශ්‍යයි තොරතුරු,මට තොරතුරු අවශ්‍යයි
තොරතුරු කොහේද කාර්යාලය ?,තොරතුරු කාර්යාලය කොහේද ?
මේකේ මොකක්ද අර්ථය ?,මේකේ අර්ථය මොකක්ද ?
දැන් කීයද වෙලාව ?,දැන් වෙලාව කීයද ?
ඔබේ කුමක්ද ලිපිනය ?,ඔබේ ලිපිනය කුමක්ද ?
සිංහලෙන් කොහොමද කියන්නේ ?,සිංහලෙන් කියන්නේ කොහොමද ?
මේ මොකක්ද ඒක ?,මේ ඒක මොකක්ද ?
භාවිතා කල හැකිද මට දුරකථනය ?,මට දුරකථනය භාවිතා කල හැකිද ?
කාමර ඔබට තිබේද ?,ඔබට කාමර තිබේද ?
රාත්‍රීයකට කීයද මිල ?,රාත්‍රීයකට මිල කීයද ?
කෑම උදෑසන ඇතුළත්ද ?,උදෑසන කෑම ඇතුළත්ද ?
කාමරයක් මට ඕනේ,මට කාමරයක් ඕනේ
මට තිබේද කාමරයක් ?,මට කාමරයක් තිබේද ?
මට ඕනේ කාමරයක්,මට කාමරයක් ඕනේ
නොමිලේ ඇත්ද Wi-Fi ?,නොමිලේ Wi-Fi ඇත්ද ?
තිබේද කාමරයේ වායුසමීකරණය ?,කාමරයේ වායුසමීකරණය තිබේද ?
යන්ත්‍රය උකස් කොහේද ?,උකස් යන්ත්‍රය කොහේද ?
ව්‍යායාම කොහේද කාමරය ?,ව්‍යායාම කාමරය කොහේද ?
කරගන්න කාමරයක් බුක් ඕනේ,කාමරයක් බුක් කරගන්න ඕනේ
කාමර තිබේද සේවාව ?,කාමර සේවාව තිබේද ?
ආරක්ෂිතව මම සිටිනවා,මම ආරක්ෂිතව සිටිනවා
ඔබට තිබේද ඇඩැප්ටරයක් ?,ඔබට ඇඩැප්ටරයක් තිබේද ?
කාමරයේ තිබේද සේෆ් ?,කාමරයේ සේෆ් තිබේද ?
උදේ ඇහැරවන්න මාව,උදේ මාව ඇහැරවන්න
බිළිඳුන්ට ඕනේ කූඩයක්,බිළිඳුන්ට කූඩයක් ඕනේ
චෙක් කීයද අවුට් ?,චෙක් අවුට් කීයද ?
මෙය කීයද මිල ?,මෙය මිල කීයද ?
මෙයට තිබේද වට්ටමක් ?,මෙයට වට්ටමක් තිබේද ?
මිල වට්ටමේ කීයද ?,වට්ටමේ මිල කීයද ?
එය මිලයි වැඩි,එය වැඩි මිලයි
ඔබ මිල හැකිද කරන්න ?,ඔබ මිල කරන්න හැකිද ?
මම කාඩ් ගෙවනවාද එකෙන් ?,මම කාඩ් එකෙන් ගෙවනවාද ?
මෙයට තිබේද වෙලාවක් ?,මෙයට වෙලාවක් තිබේද ?
වර්ණයක් මෙයට තිබේද ?,මෙයට වර්ණයක් තිබේද ?
මම ඕන දෙන්න,මම දෙන්න ඕන
ඇඳුම් කොහේද කාමර ?,ඇඳුම් කාමර කොහේද ?
සුපර්මාර්කට් කොහේද එක ?,සුපර්මාර්කට් එක කොහේද ?
මට කොහෙන්ද හමුවෙන්නේ ?,මට හමුවෙන්නේ කොහෙන්ද ?
මේසයක් පුළුවන්ද ගන්න ?,මේසයක් ගන්න පුළුවන්ද ?
මෙනුව හැකිද පෙන්වන්න ?,මෙනුව පෙන්වන්න හැකිද ?
දවසේ කුමක්ද කෑම ?,දවසේ කෑම කුමක්ද ?
මම කැමතිද මේකට ?,මම මේකට කැමතිද ?
යෝජනා හැකිද කරන්න ?,යෝජනා කරන්න හැකිද ?
කරනවාද මොනවා යෝජනා ?,මොනවා යෝජනා කරනවාද ?
ඇලර්ජියක් මට තියෙනවා,මට ඇලර්ජියක් තියෙනවා
තියෙනවාද මේ කෑමේ ?,මේ කෑමේ තියෙනවාද ?
තිබේද ඔබට විකල්ප ?,ඔබට විකල්ප තිබේද ?
හොඳද මේක ශාකාහාරීන්ට ?,මේක ශාකාහාරීන්ට හොඳද ?
මේ මොකක්ද කෑම ?,මේ කෑම මොකක්ද ?
මේකට මම කැමතියි,මම මේකට කැමතියි
බිල හැකිද දෙන්න ?,බිල දෙන්න හැකිද ?
යන්න මට ඕන,මට යන්න ඕන
මගේ සුදුයි බල්ලා,මගේ බල්ලා සුදුයි
කඩේ එයාලා යනවා,එයාලා කඩේ යනවා
මේ වහිනවා වෙලාවේ,මේ වෙලාවේ වහිනවා
වැනිලා මම වලට කැමතියි,මම වැනිලා වලට කැමතියි
ඉර දිලිසෙනවා එළියෙන්,ඉර එළියෙන් දිලිසෙනවා
අයිස් මම වලට කැමතියි,මම අයිස් වලට කැමතියි
මට ඉන්නවා බල්ලෙක්,මට බල්ලෙක් ඉන්නවා
අපි නගරයේ නිව්යෝර්ක්,අපි නිව්යෝර්ක් නගරයේ
කලිසමක් ඔහු කළු ඇඳ ගෙන සිටී,ඔහු කළු කලිසමක් ඇඳ ගෙන සිටී
උද්යානයට ඔවුන් ගියා,ඔවුන් උද්යානයට ගියා
යාළුවෝ එක්ක කරන්න සෙල්ලම්,යාළුවෝ එක්ක සෙල්ලම් කරන්න
යහන මත නිදාසිටී බළලා,බළලා යහන මත නිදාසිටී
බල්ලා පනිනවා තටාකයට,බල්ලා තටාකයට පනිනවා
කැමති මම කෑමකට,මම කැමති කෑමකට
අම්මා ආදරෙයි ගොඩක්,අම්මා ගොඩක් ආදරෙයි
මම කරනවා වැඩ,මම වැඩ කරනවා
මම ගියා කඩේට,මම කඩේට ගියා
මගේ නම ස්මිත් ජෝන්,මගේ නම ජෝන් ස්මිත්
අද රස්නෙයි ඉර,අද ඉර රස්නෙයි
ගෙයක් අපිට තියෙනවා,අපිට ගෙයක් තියෙනවා
අපි ඩ්රයිව්කලා රෑම,අපි රෑම ඩ්රයිව්කලා
ආයෙත් ඔයා පරක්කුයි,ඔයා ආයෙත් පරක්කුයි
බල්ලා විය බුරන්නට,බල්ලා බුරන්නට විය
වටේ බල්ලා දිව්වා,බල්ලා වටේ දිව්වා
පූසා කෑගැහුවා හයියෙන්,පූසා හයියෙන් කෑගැහුවා
අයියා ආසයි කන්න සැන්ඩ්විච්,අයියා ආසයි සැන්ඩ්විච් කන්න
මම යන්න ආසයි සාලෙට,මම ආසයි සාලෙට යන්න
හරිම ආසයි ආච්චි කේක් හදන්න,ආච්චි කේක් හදන්න හරිම ආසයි
සීයා නිවස වටා සවි කිරීමට ආසයි ඇති දේවල්,සීයා නිවස වටා ඇති දේවල් සවි කිරීමට ආසයි
එයාලට සල්ලියක්නෑ කිසිම,එයාලට කිසිම සල්ලියක්නෑ
දීප්තිමත්ව හිරු දිලිසෙනවා,හිරු දීප්තිමත්ව දිලිසෙනවා
මම ආසයි කියවන්න,මම කියවන්න ආසයි
පියානෝවාදනයට ඇය ආසයි,ඇය පියානෝවාදනයට ආසයි
ඉන්නේ එයාලා ගෙදරක,එයාලා ඉන්නේ ගෙදරක
බළලුන් දිව්වා වටේ,බළලුන් වටේ දිව්වා
මල් වසන්තයේදීය පිපෙන්නේ,මල් පිපෙන්නේ වසන්තයේදීය
උදේට එයා දුවනවා,එයා උදේට දුවනවා
අපි පීසා කෑවා රෑකෑමට,අපි රෑකෑමට පීසා කෑවා
හයියෙන් බල්ලා බුරනවා,බල්ලා හයියෙන් බුරනවා
කුරුල්ලෝ කියනවා සින්දු,කුරුල්ලෝ සින්දු කියනවා
ගලා ගංගාව යයි,ගංගාව ගලා යයි
මම තේ ආසයි බොන්න,මම තේ බොන්න ආසයි
ඇය හැටි බලනවා ඉර බහින,ඇය ඉර බහින හැටි බලනවා
ඔවුන් යනවා නිතර,ඔවුන් නිතර යනවා
අද පිරිලා රෑ හඳ,අද රෑ හඳ පිරිලා
සිල්ලරබඩු මට ගන්න ඕන,මට සිල්ලරබඩු ගන්න ඕන
එයා කරන්නෙ වැඩ,එයා වැඩ කරන්නෙ
අපි වැව්වා වත්තක්,අපි වත්තක් වැව්වා
කාර් නිල්පාටයි එක,කාර් එක නිල්පාටයි
ඇය බේක්කරයි කුකීස්,ඇය කුකීස් බේක්කරයි
කුරුල්ලන් සාදයි කූඩු,කුරුල්ලන් කූඩු සාදයි
ඔහු පුස්තකාලයේ ඉන්නේ,ඔහු ඉන්නේ පුස්තකාලයේ
බබා වෙනවා හිනා,බබා හිනා වෙනවා
ක්රීඩා ඔවුන් කරයි,ඔවුන් ක්රීඩා කරයි
කන්ද උසයි හරි,කන්ද හරි උසයි
මට ඇහෙනවා මුහුද,මට මුහුද ඇහෙනවා
ලියුමක් එයා ලිව්වා,එයා ලියුමක් ලිව්වා
අපි පැදුවා බයිසිකල්,අපි බයිසිකල් පැදුවා
රත් කෝපි වෙලා,කෝපි රත් වෙලා
ඔහු පිහිනයි තටාකයේ,ඔහු තටාකයේ පිහිනයි
හිම ශීතඍතුවේ වැටෙනවා,ශීතඍතුවේ හිම වැටෙනවා
ඔවුන් ගියා යුරෝපයට,ඔවුන් යුරෝපයට ගියා
මම බැලුවා ෆිල්ම්,මම ෆිල්ම් බැලුවා
ලස්සනට ඇය නටනවා,ඇය ලස්සනට නටනවා
දුරකථනය විය නාද,දුරකථනය නාද විය
කඳුකරයේ අපි නැග්ගා,අපි කඳුකරයේ නැග්ගා
ගසෙහි ඇත කොළ,ගසෙහි කොළ ඇත
උයන්න එයා ආසයි,එයා උයන්න ආසයි
සංක්රමණය කුරුල්ලන් වේ,කුරුල්ලන් සංක්රමණය වේ
මට ඕනේ ජැකට්,මට ජැකට් ඕනේ
ඇය ඇන්දා චිත්‍රරයක්,ඇය චිත්‍රරයක් ඇන්දා
තරඟය ගියාද කල් ?,තරඟය කල් ගියාද ?
කල් තරඟය දැම්මා .,තරඟය කල් දැම්මා .
ඔයා වුණාද අසනීප ?,ඔයා අසනීප වුණාද ?
ඔයා වෙලාද අසනීප ?,ඔයා අසනීප වෙලාද ?
හෙට වහීද දවසම ?,හෙට දවසම වහීද ?
හෙට වහිනවා දවසම,හෙට දවසම වහිනවා
පාපන්දු ජේක් ක්‍රීඩාකළා,ජේක් පාපන්දු ක්‍රීඩාකළා
ෆිල්ම් සාරා බැලුවා,සාරා ෆිල්ම් බැලුවා
දවසම බළලා නිදාගත්තා,බළලා දවසම නිදාගත්තා
ඔවුන් පිරිසිදුකළා කාමරය,ඔවුන් කාමරය පිරිසිදුකළා
කිචිබිචි කුරුල්ලා ගාන්නට විය,කුරුල්ලා කිචිබිචි ගාන්නට විය
ඔහු ගියේය බැලීමට,ඔහු බැලීමට ගියේය
අවසන් ටිම් ආහාරය කළේය,ටිම් ආහාරය අවසන් කළේය
නතර විය මෝටර්රථය,මෝටර්රථය නතර විය
අපි දැක්කා දේදුන්නක්,අපි දේදුන්නක් දැක්කා
සාදයේදී නැටුවා සෑම්,සාදයේදී සෑම් නැටුවා
ජැක් කළේය ක්‍රීඩා,ජැක් ක්‍රීඩා කළේය
කුකීස් ලීසා පිළිස්සුවාය,ලීසා කුකීස් පිළිස්සුවාය
ටොම් ගියේය ඇවිද,ටොම් ඇවිද ගියේය
නිවාඩුවට සාරා ගියාය,සාරා නිවාඩුවට ගියාය
චිත්‍රපටයක් අපි නැරඹුවෙමු,අපි චිත්‍රපටයක් නැරඹුවෙමු
ලුහුබැඳ බළලා ගියේය,බළලා ලුහුබැඳ ගියේය
පින්තාරු පින්තූරයක් කළා,පින්තූරයක් පින්තාරු කළා
කුස්සිය ඇලෙක්ස් පිරිසිදු කළේය,ඇලෙක්ස් කුස්සිය පිරිසිදු කළේය
බැස හිරු ගියේය,හිරු බැස ගියේය
ඉගෙන සිසු ගත්හ,සිසු ඉගෙන ගත්හ
ඉස්කෝලේ ජේක් ගියේය,ජේක් ඉස්කෝලේ ගියේය
ප්‍රසංගයේදී ලුසී නැටුවාය,ලුසී ප්‍රසංගයේදී නැටුවාය
ඔවුන් ඉදිකළහ වැලිමාලිගාවක්,ඔවුන් වැලිමාලිගාවක් ඉදිකළහ
අපි නැරඹුවෙමු චිත්‍රපටයක්,අපි චිත්‍රපටයක් නැරඹුවෙමු
චාරිකාවක් අපි යනවා,අපි චාරිකාවක් යනවා
වැස්ස විය නතර,වැස්ස නතර විය
මිතුරිය සමන්තා ඇමතුවාය,සමන්තා මිතුරිය ඇමතුවාය
මැක්ස් ගියා ගමනක්,මැක්ස් ගමනක් ගියා
එක බයික් හදන්න,බයික් එක හදන්න
ටයර් හදන්න එක,ටයර් එක හදන්න
ගුරුවරයා කියෙව්වා කතාවක්,ගුරුවරයා කතාවක් කියෙව්වා
ක්‍රීඩා මයික් කළේය,මයික් ක්‍රීඩා කළේය
ඔහුගේ මොකක්ද ක්‍රීඩාව ?,ඔහුගේ ක්‍රීඩාව මොකක්ද ?
ඇමී දුටුවේය සතුන්,ඇමී සතුන් දුටුවේය
ගොස් තිබේද සත්වෝද්‍යානයට ?,සත්වෝද්‍යානයට ගොස් තිබේද ?
ජේසන් නැග්ගා කන්ද,ජේසන් කන්ද නැග්ගා
කන්ද ජේසන් නැග්ගාද ?,ජේසන් කන්ද නැග්ගාද ?
මම නැග්ගේමි කන්ද,මම කන්ද නැග්ගේමි
එක කාටූන් මොකක්ද ?,කාටූන් එක මොකක්ද ?
අත්පුඩි බබා ගැහුවා,බබා අත්පුඩි ගැහුවා
බල්ලා ගියේය දිව,බල්ලා දිව ගියේය
අල්ලා පන්දුව ගත්තද ?,පන්දුව අල්ලා ගත්තද ?
ලීසා කළාය උදව්,ලීසා උදව් කළාය
ආච්චි කැමතිද මේකට ?,ආච්චි මේකට කැමතිද ?
මේකට බල්ලා කැමතිද ?,බල්ලා මේකට කැමතිද ?
ලීසා කැමතිද කන්දට ?,ලීසා කන්දට කැමතිද ?
ජේසන් මේකට කැමතිද ?,ජේසන් මේකට කැමතිද ?
කතාවට ගුරුවරයා කැමතිද ?,ගුරුවරයා කතාවට කැමතිද ?
ටිම්ට හැරුනා මග,ටිම්ට මග හැරුනා
පරක්කු ඇහැරුනද වෙලා ?,පරක්කු වෙලා ඇහැරුනද ?
ඉස්කෝලේ තිබේද බස් ?,ඉස්කෝලේ බස් තිබේද ?
මල් ලස්සනට වසන්තයේ පිපෙනවා,වසන්තයේ මල් ලස්සනට පිපෙනවා
උපන්දිනය සාරා සැමරුවාය,සාරා උපන්දිනය සැමරුවාය
අපි වෙමු පුදුම,අපි පුදුම වෙමු
ලිපියක් සාරා ලිව්වාය,සාරා ලිපියක් ලිව්වාය
පෙට්ටියක් ළමයා සොයා ගත්තේය,ළමයා පෙට්ටියක් සොයා ගත්තේය
නිධන් අපි සොයා ගත්තෙමු,අපි නිධන් සොයා ගත්තෙමු
දියඇල්ලක් අපි සොයා ගත්තෙමු,අපි දියඇල්ලක් සොයා ගත්තෙමු
පුවරුක්‍රීඩා ඔවුහු කළහ,ඔවුහු පුවරුක්‍රීඩා කළහ
